"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk",67,,,,,,,,,,,,2.99721448467967,3.05263157894737,2.99442896935933,2.97622585438336,2.89963112005366,3,3.02846448467967,3.23076923076923,3.14464845499328,3.125,3.125,3.0904749846254,3.06406685236769,3.07719471650642,3.07612095933264,3.08692052980132,3.2,3.18465909090909,3.13392857142857,3.12825860271116,3.15789473684211,3.11688311688312,3.16666666666667,3.11688311688312,3.23684210526316,3.23759203708754,3.22004608294931,3.29138431752178,3.43380921479559,3.4,3.29992826398852,3.32291666666667,3.28571428571429,3.29985652797704,3.30384615384615,3.33333333333333,3.42678571428571,3.39869281045752,3.47222222222222,3.53571428571429,3.56521739130435,3.55841371918542,3.37476235741445,3.33333333333333,3.33333333333333,3.38461538461538,3.38645418326693,3.42857142857143,3.52645026835674,3.53658536585366,3.5375234521576,3.6125,3.55263157894737,3.72384937238494,3.8,3.64779874213836,3.46216200597301,3.48848643266119,3.26739427012278,3.72372685185185,3.86103448275862,3.85857142857143,3.73333333333333,3.59856115107914,3.655,3.5792721188036,3.5364768683274,3.56975184439973,3.5,3.49094707520891,3.41798941798942,3.44401544401544,3.64285714285714,4.19031925031766,4.3125,4.2851929092805,4.37302423603793,4.24425051562396,4.28908554572271,4.28571428571429,4
"Bronzeville","Chicago","IL","Chicago-Naperville-Elgin","Cook",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.03452380952381,1.03055555555556,1.06458333333333,1.11176470588235,1.11143790849673,1.11111111111111,1.11176470588235,1.14338035811177,1.13382352941176,1.12859848484848
"Roslindale","Boston","MA","Boston-Cambridge-Newton","Suffolk",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75659090909091,1.92840909090909,1.94247787610619,1.92307692307692,1.94346116027532,1.77424483306836,1.70833333333333,1.72916666666667,1.66666666666667,1.74901960784314,1.67234848484848,1.53589743589744,1.5375,1.71228070175439,1.79242424242424,1.87184343434343,1.81818181818182,1.77777777777778,1.82321428571429,1.825
"Brighton Beach","New York","NY","New York-Newark-Jersey City","Kings",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.34265734265734,2.325,2.31818181818182,2.41979856698662,2.49314271323244,2.45454545454545,2.37037037037037,2.44296296296296,2.51315789473684,2.44296296296296,2.49313621635095,2.54166666666667,2.46243169398907,2.4681686886193,2.42290748898678,2.48868778280543,2.49313621635095,2.3051724137931,2.34982332155477
"Financial District","New York","NY","New York-Newark-Jersey City","New York",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77055606605767,4.82041587901701,4.74941084053417,4.74516695957821,4.81029810298103,4.80274471376008,4.83606557377049,4.85512400452409,4.9192439862543,4.90322580645161,4.875,4.92898913951546,4.95,4.9996875,4.9518315018315,4.92307692307692,4.78579530581974,4.77567298105683,4.77957619407474,4.84615384615385,4.93671054972425,4.96075848700234,4.875,4.91981990133145,4.92832469994323,4.92021276595745,4.91734972677596,4.77567298105683,4.89704565801253,4.79017252396166,4.85512920908379,4.77707006369427,4.88113573407202,4.99569707401033,5.03343465045593,5.10040259230165,5.18076923076923,5.1245,5.05091092068848,4.9338146811071,4.92188826400679,4.886,4.82030178326475,4.85098967297762,4.88372832666461,4.85924932975871,4.9945652173913,5.04591686630522,5.12995896032832,5.01443001443001,5.135
"Ravenswood","Chicago","IL","Chicago-Naperville-Elgin","Cook",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375,1.412,1.43333333333333,1.43333333333333,1.43541666666667,1.62667030269975,1.61111111111111,1.58333333333333,1.63888888888889,1.695,1.68181818181818,1.66666666666667,1.595,1.56627415458937,1.58333333333333,1.5625,1.65833333333333,1.74166666666667,1.77320788530466,1.81071428571429,1.6875,1.79,1.71875,1.67464114832536,1.6875,1.61875,1.77222222222222,1.81818181818182,1.75,1.75,1.7875,1.77777777777778,1.79,1.78710526315789,1.775,1.76718137254902,1.75,1.75,1.795,1.7825,1.76907894736842,1.74375,1.75,1.77777777777778,1.76388888888889,1.77848484848485,1.68377192982456
"Fort Hamilton","New York","NY","New York-Newark-Jersey City","Kings",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.895,2.18181818181818,2.19097222222222,2.13333333333333,2.03125,2.05057471264368,2.1,2.06458333333333,2.11666666666667,2.18181818181818,2.20833333333333,2.09473684210526,2.05555555555556,2.12938105891126,2.35573122529644,2.16363636363636,2.02173913043478,2.26666666666667,2.03125,2.2,2.41666666666667,2.38887299771167,2.40708154506438,2.32843137254902,2.27855603448276,2.266,2.27272727272727,2.28991596638655,2.25,2.17727272727273,2.21428571428571,2.33333333333333,2.35,2.3,2.23333333333333,2.28571428571429,2.28869047619048,2.26266666666667,2.26533333333333,2.3
"Flatiron District","New York","NY","New York-Newark-Jersey City","New York",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93380921479559,6.08089984858317,6.08208955223881,6.01332212091706,6.08441700599851,6.12381720430108,5.99662668665667,6.0625814863103,6.09223300970874,6.16239655897891,6.0126582278481,6.0126582278481,6.05601469237833,6.05601469237833,5.89159465828751,5.82130503144654,5.86832575142161,5.86607142857143,5.93993477996678,5.98609489051095,6.07971014492754,5.90348833021179,5.86187200333542,5.74602803738318,5.81160153672844,5.91666666666667,5.81665190434012,5.90015847860539,5.94297635605007,5.895,5.95716198125837,5.78651685393258,5.79930191972077,5.8,5.6875,5.55844155844156,5.9200908597776,5.76608684079926,5.79822465241189,5.80656232803124,5.80067485064537,6.02857142857143,6.16388687454677,6.13275862068966,6.18651710726566,6.17391304347826,6.26363636363636,6.29370629370629,6.06601731601732,5.97610544217687,6.04461416845128
"South Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964880952380952,1,0.979166666666667,0.955357142857143,1,1.05555555555556,1.05555555555556,1.02777777777778,1.05555555555556,1.05555555555556,1.05555555555556,1.0952380952381,1.11805555555556,1.10119047619048,1.11111111111111,1.1536231884058,1.18928571428571,1.09375,1.11805555555556,1.11111111111111
"Clinton Hill","New York","NY","New York-Newark-Jersey City","Kings",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0625,3,3.17353896103896,3.28571428571429,3.23076923076923,3.125,3.0995,3.125,3.11111111111111,3.116,3.09761904761905,3.1,3.25,3.25,3.1,3.08306451612903,3.1,2.99738562091503,3.11111111111111,3.2083984375,3.20967741935484,3.26363636363636,3.20777777777778,3.3814181369335,3.42857142857143,3.38461538461538,3.33333333333333,3.25684210526316,3.10555555555556,3.13809523809524,3.19635668789809,3.17957575757576,3.10277777777778,3.24375,3.3125,3.33333333333333,3.436875,3.375,3.4375,3.4375
"Brickell","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",77,,,,,,,,,,,,,,,,,,,,,,,2.41992720655141,2.35714285714286,2.39918987936247,2.41128298453139,2.21666666666667,2.30434782608696,2.34657039711191,2.46523388116308,2.47933884297521,2.43608592665196,2.40506329113924,2.41758727989661,2.45003223726628,2.44318181818182,2.38095238095238,2.40384615384615,2.41433021806854,2.51610855528101,2.496660730187,2.52002522066461,2.52043596730245,2.52034399625249,2.46696035242291,2.46666666666667,2.52182347235693,2.51612903225806,2.57104194857916,2.56410256410256,2.50990752972259,2.53549695740365,2.53980288097043,2.53549695740365,2.52235390598132,2.57452574525745,2.55068672334859,2.50111706881144,2.50960060500999,2.51842751842752,2.50637397296179,2.5088722601591,2.53549695740365,2.496660730187,2.50339289026502,2.4932914579498,2.48724489795918,2.53411162791399,2.47017543859649,2.46450099855256,2.48421500288133,2.47376311844078,2.50743731406715,2.53164556962025,2.54237288135593,2.51008566790427,2.55068672334859,2.57452574525745,2.58855585831063,2.5722339675828,2.58963730569948,2.59308510638298,2.59308510638298,2.59554140127389,2.63012605601387,2.63532763532764,2.67217528778222,2.61669024045262,2.62407301768397,2.65587154554155,2.67816861694629,2.69404672192916
"Kew Gardens","New York","NY","New York-Newark-Jersey City","Queens",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47050147492625,2.46323529411765,2.34703440889008,2.41666666666667,2.3474025974026,2.31741573033708,2.38021881287726,2.34970238095238,2.33333333333333,2.41666666666667,2.39285714285714,2.4630354424875,2.33549783549784,2.5,2.4025974025974,2.33333333333333,2.34013605442177,2.37068965517241,2.33333333333333,2.4462481962482,2.5,2.4864046021093,2.46651785714286,2.48275862068966,2.45189123376623,2.55,2.45,2.446875,2.38444444444444,2.41507177033493,2.23081003258316,2.26950354609929,2.30769230769231,2.32051282051282,2.40833333333333,2.36607142857143,2.375,2.48859191655802,2.37980769230769,2.3448275862069,2.36839826839827,2.3125,2.37171052631579,2.3912987012987,2.37179487179487,2.31184615384615,2.3448275862069,2.5,2.41283783783784,2.5,2.4
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",79,,,,,,,,,,,,,,,,,,,,,,2.11679536679537,2.09354737502615,2.01095197978096,2.31320842007865,2.33785822021116,2.48600746268657,2.36666666666667,2.29344330324722,2.56678082191781,2.54545454545455,2.5,2.44546381243629,2.49776984834969,2.46211251435132,2.47058823529412,2.5031328320802,2.46884674922601,2.47058823529412,2.57247899159664,2.50888758748397,2.63068181818182,2.57247899159664,2.58764607679466,2.57142857142857,2.57247899159664,2.63888888888889,2.63051506464605,2.57247899159664,2.62849229337134,2.57784451808893,2.59090909090909,2.64880706038157,2.65694457345311,2.65625,2.62849229337134,2.57843137254902,2.62237762237762,2.63157894736842,2.61160360995397,2.61987134064163,2.66129032258065,2.58088235294118,2.65339966832504,2.615518744551,2.52799045797058,2.66129032258065,2.58478610591287,2.82651072124756,2.76595744680851,2.54486215538847,2.58823529411765,2.56896551724138,2.56949806949807,2.65625,2.65700483091787,2.6541095890411,2.59934210526316,2.62826338400529,2.61904761904762,2.51748251748252,2.54195804195804,2.56756756756757,2.6,2.53589743589744,2.55593663236975,2.57352941176471,2.4510428410372,2.50709754513157,2.6541095890411,2.70643939393939,2.64450358861235
"Back Bay","Boston","MA","Boston-Cambridge-Newton","Suffolk",80,3.375,3.34498834498834,3.55784865540963,3.55494505494505,3.46473434446822,3.54700854700855,3.57723577235772,3.59292045384021,3.81818181818182,3.67948717948718,3.59596923432801,3.64285714285714,3.78409090909091,3.73153153153153,3.86944444444444,3.88888888888889,3.81818181818182,3.66666666666667,3.66666666666667,3.81074177856839,3.91785714285714,3.82381413359148,3.89972144846797,3.7893384714194,4,4,3.91666666666667,3.91737649063032,3.91659716430359,3.8978527607362,3.90828556539865,3.90833333333333,3.963133640553,3.88333333333333,3.88694638694639,3.82902559867878,3.8304486966536,3.87489574645538,3.92857142857143,4.11538461538461,4.10427807486631,4.21768707482993,4.14801024428684,4.08957219251337,4.09090909090909,4.12268041237113,4.15085924713584,4.22577319587629,4.24028268551237,4.15384615384615,4.15384615384615,4.21442255062945,4.16666666666667,4.16666666666667,4.03846153846154,4.04016695040914,4,3.98981324278438,4,4.11111111111111,4.11111111111111,4.20375161707633,4.16966426858513,4.34266409266409,4.14573547817124,4.1625,4.18181818181818,4.08333333333333,4.23557955166758,4.125,4.24801587301587,4.12440476190476,4.1572695035461,4.24301587301587,4.25265957446809,4.31698564593301,4.41885964912281,4.375,4.33609385783299,4.24603174603175,4.23438836612489,4.23257879844706,4.21976171976172,4.11214953271028,4.06838709677419,4.16666666666667,4.33644859813084,4.40826330532213,4.49576271186441,4.48685897435897,4.57,4.5207650273224
"Brooklyn Heights","New York","NY","New York-Newark-Jersey City","New York",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91666666666667,4.60365853658537,4.36842105263158,4.49583333333333,4.75357142857143,4.77777777777778,4.71825,4.792,4.82051282051282,4.73709142586452,4.82088091353997,4.60182926829268,4.60365853658537,4.58333333333333,4.83166666666667,4.4377990430622,4.33333333333333,4.45535714285714,4.56214285714286,5.02286585365854,4.5,4.60365853658537
"Rittenhouse","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53846153846154,2.5,2.5,2.49583333333333,2.57981651376147,2.49583333333333,2.55482456140351,2.5046468401487,2.60714285714286,2.58771929824561,2.58108108108108,2.55087072574197,2.62104212227822,2.32686025408348,2.5,2.47058823529412,2.6875,2.5,2.5520356874225,2.49583333333333,2.3640752976805
"Uptown","Chicago","IL","Chicago-Naperville-Elgin","Cook",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44444444444444,1.45,1.44722222222222,1.44444444444444,1.39,1.51666666666667,1.53333333333333,1.54927536231884,1.36875,1.4099537037037,1.53333333333333,1.56666666666667,1.56594202898551,1.36181818181818,1.56666666666667,1.56666666666667,1.58125,1.56594202898551,1.5,1.5,1.53333333333333,1.44791666666667,1.43958333333333,1.49375,1.55416666666667,1.56666666666667,1.61748310810811,1.59583333333333,1.71875,1.65833333333333,1.68725,1.75625,1.56666666666667,1.58190476190476,1.56666666666667,1.53939393939394,1.54772727272727,1.71142857142857,1.66666666666667,1.734375,1.76602564102564,1.68923076923077,1.6875,1.72222222222222,1.695,1.695,1.57833333333333,1.56666666666667,1.67708333333333,1.71825396825397,1.7,1.746875,1.7,1.72788461538462,1.70651260504202,1.7
"Near North","Chicago","IL","Chicago-Naperville-Elgin","Cook",84,,,,,,,,2.25974025974026,2.29857142857143,2.332,2.25820379965458,2.27619047619048,2.25497967479675,2.29039164003779,2.40320630547903,2.47841105354059,2.45576923076923,2.47317073170732,2.53193960511034,2.54807692307692,2.47833333333333,2.4755061881829,2.46921797004992,2.50867924528302,2.48029197080292,2.47227036395147,2.52763385146805,2.55353119796258,2.6,2.6083509970168,2.60260190357956,2.55421686746988,2.48662640207075,2.41220514828227,2.46780198565913,2.45757071547421,2.51799014720544,2.5385389182058,2.55284552845528,2.64220183486239,2.68712871287129,2.82045088566828,2.66525423728814,2.58964143426295,2.592,2.63849056603774,2.67880747126437,2.41149425287356,2.61037891268534,2.61303630363036,2.54481666200782,2.65790111554882,2.67836206896552,2.63553719008264,2.5,2.62005649717514,2.75691056910569,2.67640836408364,2.50132398480865,2.50424212354255,2.48201331610852,2.48765442252965,2.49304226475279,2.58514791684464,2.56559233449477,2.57623049219688,2.76206896551724,2.4745145631068,2.76762402088773,2.54846625766871,2.5144804088586,2.49304226475279,2.56559233449477,2.67262711864407,2.83333333333333,2.70294714389762,2.65626323055683,2.70178571428571,2.60797101449275,2.54793388429752,2.49346743482082,2.49720893141946,2.50638888888889,2.604,2.74182284299859,2.81496598639456,2.86707317073171,2.82592592592593,2.84931506849315,2.86133004926108,2.75252373813093,2.78086956521739
"Streeterville","Chicago","IL","Chicago-Naperville-Elgin","Cook",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58100558659218,2.60013273602124,2.83521126760563,2.85892634207241,2.77734461709212,2.7741935483871,2.83333333333333,2.77318470479192,2.71130221130221,2.72542997542998,2.7219165085389,2.79269882659713,2.70416666666667,2.63939393939394,2.62827076014832,2.69365079365079,2.69444444444444,2.71875,2.79002240531946,2.76794871794872,2.74301675977654,2.69166666666667,2.72863636363636,2.69444444444444,2.69444444444444,2.70416666666667,2.72965879265092,2.84176206105241,2.77955271565495,2.79333333333333,2.76961538461538,2.77956989247312,2.89398684001903,2.71875,2.63318534961154,2.61448900388098,2.62528206099012,2.67948623220531,2.65265200517464,2.69504830917874,2.8,2.77738990017616,2.86585064394657,2.95833333333333,2.89331501831502,2.72213740458015
"Tribeca","New York","NY","New York-Newark-Jersey City","New York",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29117647058824,5.295,5.25,5.29356060606061,5.295,5.42261904761905,5.52161862527716,5.61956304992647,5.66828338590957,5.3475935828877,5.59666666666667,5.64117647058824,5.59333333333333,5.62257751937985,5.46439628482972,5.38961038961039,5.62015503875969,5.47820172528202,5.69908814589666,5.78466183574879,5.70513392857143,5.65307971014493,5.69505221798776,5.46875,5.64117647058824,5.70116054158607,5.69058027079304,5.85043458371455,5.64117647058824,5.64117647058824,6.12244897959184,6.13402575064303,6.295,6.14552511415525,6.03871870088326,6.195,6.17556241729157,6.05942142298671,5.97857142857143,5.86395621579359,5.66666666666667,5.64975490196078,5.7615906958108,5.89820359281437,5.72666666666667,5.75,5.87910179640719,5.85,6.00303951367781,5.89101620029455,5.96134000158768
"Downtown","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01219512195122,2.24929709465792,2.07253886010363,2.05934635312874,2.06305514433753,2.14285714285714,2.25961538461538,2.21195652173913,2.16333333333333,2.2579001019368,2.14285714285714,2,2,2.08333333333333,2.11706102117061,2.19178082191781,2.16666666666667,2.25,2.14285714285714
"Bucktown","Chicago","IL","Chicago-Naperville-Elgin","Cook",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72222222222222,1.895,1.91666666666667,1.91666666666667,1.92857142857143,1.875,1.89428571428571,1.88888888888889,1.86333333333333,1.83782051282051,1.83125,1.91425,1.91633333333333,1.95944398644316,2,2,2,2,1.9265873015873,1.86450892857143,1.79075591985428
"Gowanus","New York","NY","New York-Newark-Jersey City","Kings",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73890756302521,3.54646464646465,3.66666666666667,3.63068181818182,3.65151515151515,3.5625,3.42857142857143,3.57142857142857,3.47241379310345,3.27272727272727,3.2265625,3.35714285714286,3.27619047619048,3.35416666666667,3.66666666666667,3.75,3.75,3.66800834824091,3.76923076923077,3.64705882352941
"Hyde Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04487179487179,2.08333333333333,2.07186544342508,2.00525394045534,2,2.05,2.08333333333333,2.15,2.15,2.15,1.88888888888889,2.08231173380035
"Turtle Bay","New York","NY","New York-Newark-Jersey City","New York",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5.0328227571116,5,5.0328227571116,5.0164113785558,5,5.05263157894737,5.12451683337759,5.1878453038674,5.08875,5.08420454545455,5.07742403314917,5.19585803689065,5.13873626373626,5.19480519480519,5.11516018627616,5.11258697027198,5.05263157894737,5.16666666666667,5,5.12820512820513,5,5.25114155251142,5.0328227571116,5.26785714285714,5,5.06477732793522,5.05263157894737,5.1423487544484,5.0164113785558,4.94504079003864,4.97860199714693,4.85714285714286,4.90727272727273,5.26315789473684,5.33333333333333,4.89130434782609,4.94772727272727,4.83870967741935,4.9616368286445,5.05263157894737,5,4.99074074074074,4.83903015669408,5.09090909090909,5.26519337016575,5.27086383601757,5.25547445255474,5.16746411483254,5.07692307692308
